action,ticker,quantity,price,state,date,type,time_in_force,category,opening_strategy,closing_strategy,total,account
credit,ORCL,1.0,150.0,filled,2022-01-28 14:54:53.067650+00:00,limit,gfd,options,,long_put,150.0,ROBINHOOD
debit,ORCL,1.0,119.0,filled,2022-01-25 16:00:39.956245+00:00,limit,gfd,options,long_put,,119.0,ROBINHOOD
credit,GE,2.0,0.08,paid,2022-01-25 00:00:00,,,dividends,,,0.16,ROBINHOOD
credit,ORCL,1.0,0.32,paid,2022-01-19 00:00:00,,,dividends,,,0.32,ROBINHOOD
debit,BTCUSD,0.01111111,45000.0,filled,2022-01-05 14:46:23.693000-05:00,limit,gtc,crypto,,,499.99995,ROBINHOOD
credit,UFO,20.0,0.129646,paid,2022-01-03 00:00:00,,,dividends,,,2.5929200000000003,ROBINHOOD
credit,QQQ,3.0,0.49141,paid,2021-12-31 00:00:00,,,dividends,,,1.47423,ROBINHOOD
credit,SPYG,6.0,0.122755,paid,2021-12-23 00:00:00,,,dividends,,,0.73653,ROBINHOOD
credit,MSFT,5.0,0.62,paid,2021-12-09 00:00:00,,,dividends,,,3.1,ROBINHOOD
credit,PFE,20.0,0.39,paid,2021-12-06 00:00:00,,,dividends,,,7.800000000000001,ROBINHOOD
credit,ET,25.0,0.1525,paid,2021-11-19 00:00:00,,,dividends,,,3.8125,ROBINHOOD
credit,NEP,5.0,0.685,paid,2021-11-12 00:00:00,,,dividends,,,3.4250000000000003,ROBINHOOD
credit,GOGO,33.0,19.43,filled,2021-11-04 13:42:52.734000+00:00,market,gfd,stock,,,641.1899999999999,ROBINHOOD
credit,QQQ,3.0,0.41391,paid,2021-10-29 00:00:00,,,dividends,,,1.24173,ROBINHOOD
credit,ORCL,1.0,0.32,paid,2021-10-26 00:00:00,,,dividends,,,0.32,ROBINHOOD
credit,GE,2.0,0.08,paid,2021-10-25 00:00:00,,,dividends,,,0.16,ROBINHOOD
credit,UFO,20.0,0.000809,paid,2021-09-29 00:00:00,,,dividends,,,0.01618,ROBINHOOD
debit,ET,3.0,11.0,filled,2021-09-27 13:58:05.133533+00:00,limit,gfd,options,long_put,,33.0,ROBINHOOD
credit,ET,3.0,20.0,filled,2021-09-27 13:40:43.280327+00:00,limit,gfd,options,,long_call,60.0,ROBINHOOD
debit,ET,3.0,10.0,filled,2021-09-24 16:05:49.725761+00:00,limit,gfd,options,long_call,,30.0,ROBINHOOD
credit,ET,1.0,20.0,filled,2021-09-24 16:03:57.980093+00:00,limit,gfd,options,,long_put,20.0,ROBINHOOD
credit,SPYG,6.0,0.105016,paid,2021-09-23 00:00:00,,,dividends,,,0.630096,ROBINHOOD
debit,ET,1.0,27.0,filled,2021-09-13 14:55:15.928387+00:00,limit,gfd,options,long_put,,27.0,ROBINHOOD
debit,CRSP,8.0,118.2475,filled,2021-09-13 14:49:51.248000+00:00,market,gfd,stock,,,945.98,ROBINHOOD
credit,MSFT,5.0,0.56,paid,2021-09-09 00:00:00,,,dividends,,,2.8000000000000003,ROBINHOOD
debit,BTCUSD,0.00044897,46773.64,filled,2021-09-08 00:23:39.680000-04:00,limit,gtc,crypto,,,20.999961150799997,ROBINHOOD
